8.44011e-10,4.17068e-07,141612,4.93014e-10,7.73143e-09,5.11755e-08,469.888
7.59588e-10,6.08781e-07,148974,9.23179e-10,5.75469e-09,5.18444e-11,453.484
5.09602e-10,2.50047e-07,156576,3.28412e-10,3.99002e-10,8.1274e-08,470.168
4.12971e-10,6.18327e-07,151198,7.0361e-10,8.2854e-09,7.01591e-08,470.159
8.97817e-10,9.65501e-07,145286,5.18644e-11,3.65674e-09,1.11863e-08,749.89
7.12802e-10,9.16715e-07,136623,2.19244e-10,3.96138e-09,5.88418e-08,955.316
2.88579e-11,7.43794e-07,124246,3.24753e-10,6.10851e-09,3.59023e-08,470.198
8.59317e-10,9.22941e-07,149180,8.61531e-10,7.01577e-10,2.67027e-08,470.072
3.80557e-10,5.86278e-07,123817,6.92315e-10,3.69313e-09,2.42567e-08,469.536
8.52454e-10,9.16242e-07,142619,2.23042e-12,3.23948e-09,6.4514e-08,470.315
4.3076e-10,5.76629e-09,139240,8.07623e-11,8.43083e-09,5.86251e-08,460.997
5.38823e-10,2.80479e-07,157390,3.56879e-10,6.46192e-09,3.89216e-08,470.018
9.90734e-11,4.55836e-07,152231,4.2122e-10,2.53148e-09,5.73803e-08,470.162
5.82923e-10,1.75343e-08,139995,9.54095e-10,6.04263e-09,3.4689e-08,311.267
2.61089e-11,6.17622e-07,131688,6.36587e-11,6.99624e-09,1.26949e-08,1488.05
8.79326e-10,8.02003e-07,143556,4.17859e-10,1.21758e-09,3.1149e-08,1412.54
7.85913e-10,7.33822e-07,135468,5.35167e-10,6.78673e-09,9.80483e-09,467.545
1.28835e-10,2.35142e-07,142375,8.07496e-10,3.43989e-09,8.73534e-09,971.312
4.40499e-10,4.32615e-08,149834,4.76693e-10,1.7603e-09,8.17038e-08,827.314
5.1961e-10,6.10931e-07,145650,5.22792e-11,2.39552e-09,8.87683e-08,461.069
8.44011e-10,4.17068e-07,141612,4.93014e-10,7.73143e-09,5.11755e-08,469.888
7.59588e-10,6.08781e-07,148974,9.23179e-10,5.75469e-09,5.18444e-11,453.484
5.09602e-10,2.50047e-07,156576,3.28412e-10,3.99002e-10,8.1274e-08,470.168
4.12971e-10,6.18327e-07,151198,7.0361e-10,8.2854e-09,7.01591e-08,470.159
8.97817e-10,9.65501e-07,145286,5.18644e-11,3.65674e-09,1.11863e-08,749.89
